event_id,cluster_id,role,distance_to_cluster_center,symbol,timestamp,direction
F001,0,representative,0.5170326854408435,ADAUSDT,2023-08-16 16:00,LONG
F003,0,representative,1.0963414261112823,ADAUSDT,2023-08-17 00:00,LONG
F002,0,representative,1.3255009919197942,ADAUSDT,2023-08-15 20:00,LONG
F040,1,representative,1.051480333151318,ADAUSDT,2025-05-11 00:00,SHORT
F006,1,representative,1.328586667730265,ADAUSDT,2025-05-11 12:00,SHORT
F028,1,representative,1.396247544325492,ADAUSDT,2025-05-11 04:00,SHORT
F035,1,boundary,4.7955504985583035,ADAUSDT,2024-09-28 20:00,SHORT
F017,1,boundary,4.713664370349537,ADAUSDT,2024-09-28 16:00,SHORT
F014,2,representative,0.0,ADAUSDT,2025-05-27 04:00,LONG
