variant,cluster_count,ari_vs_primary,silhouette
primary_h30_core_robust,3,1.0,0.36253957258785857
agglo_h20_core_robust,3,0.42103068667320087,0.39471075749621826
agglo_h60_core_robust,3,0.7118763687691446,-0.10125688462164238
kmeans_h30_core_robust,3,0.48652702630310185,0.4105513705624104
dbscan_h30_core_robust,3,0.09623572855043526,0.40166237437186764
agglo_h30_core_standard,3,1.0,0.36253957258785857
agglo_h30_reduced_robust,3,1.0,0.36253957258785857
bootstrap_80pct_500,3,0.6593532027343745,
