feature,count,mean,std,median,p10,p25,p75,p90,min,max,missing_count,constant
horizon,180,30.0,18.708286933869708,25.0,10.0,17.5,37.5,60.0,10.0,60.0,0,0
signed_close_return_pct,180,0.01603070289905895,0.05972918604597768,0.008682238751906763,-0.05367443297978747,-0.024444214059490366,0.04938727874097035,0.10751917692563424,-0.16418105703819982,0.14567223746570207,0,0
signed_close_return_atr,180,0.6035722769195405,2.7673648202757626,0.32257914474258076,-2.456145748085822,-0.9239062554210173,1.7548879196634104,3.7655308045546456,-7.961033076574536,7.899516908212551,0,0
mfe_pct,180,0.06348104639999302,0.04921151077297466,0.0502811992989202,0.008712968506445092,0.023462801383065838,0.08929055059028285,0.14601841086134765,0.0016597510373443692,0.19182807110639435,0,0
mfe_atr,180,2.508025323026701,2.3965961013977997,1.8106508875739646,0.3330815709969772,0.8597348220516375,3.354854065978721,4.981820306511018,0.05391527599486426,9.814285714285711,0,0
mae_pct,180,-0.0547148090294251,0.046891260998098594,-0.04453240090014343,-0.1277166818986178,-0.08298862461220259,-0.013626285758070416,-0.006431662248606143,-0.19113029827315545,-0.0005792064871125919,0,0
mae_atr,180,-2.2760437489041387,2.6104052527220554,-1.6252681764004753,-5.263210870659282,-2.744212995688963,-0.5394045534150562,-0.20405576679340645,-13.12177121771218,-0.020289855072461525,0,0
efficiency_ratio,180,0.1905250349433715,0.15540122754089816,0.15314904285883402,0.025984278318491993,0.06435032894736861,0.28433117905409355,0.42416204584954126,0.0024489795918364726,0.7790697674418617,0,0
signed_efficiency,180,0.06330099861288187,0.23757591215441615,0.038231852724570844,-0.2151635717350001,-0.1089632547209424,0.22652208591576778,0.3905731243624223,-0.6453201970443355,0.7790697674418617,0,0
total_path_pct,180,0.3055502483376658,0.18857893369048415,0.25598312886913516,0.09544535828964787,0.15758524501520887,0.4138086627494849,0.5866728361931101,0.044725162171389554,0.8087478559176664,0,0
total_path_atr,180,11.90261432812582,7.98771551186038,9.426574935475582,3.7776422239476903,5.895267420755923,16.48765209810091,22.863384082176992,1.7801221543586911,36.18819188191877,0,0
net_to_path_ratio,180,0.06330099861288187,0.23757591215441615,0.038231852724570844,-0.2151635717350001,-0.1089632547209424,0.22652208591576778,0.3905731243624223,-0.6453201970443355,0.7790697674418617,0,0
return_sign_changes,180,14.272222222222222,9.456820322776782,11.0,4.0,6.0,20.0,29.0,2.0,37.0,0,0
swing_direction_changes,180,13.666666666666666,9.33987865731313,11.0,4.0,5.0,18.5,29.0,2.0,36.0,0,0
number_of_local_pivots,180,13.666666666666666,9.33987865731313,11.0,4.0,5.0,18.5,29.0,2.0,36.0,0,0
high_low_range_pct,180,0.11819585542941814,0.04479665889099516,0.11339254140310248,0.06431642525882207,0.08241758241758249,0.16250729786002693,0.1818636022982764,0.023898941618299783,0.2051282051282052,0,0
high_low_range_atr,180,4.78406907193084,2.7697062347551595,3.757228231914945,2.2486388384754994,2.887466477690776,5.918470055359841,9.281374179302091,1.1057971014492713,13.35424354243543,0,0
range_expansion_vs_pre_event,180,0.7283767953815175,0.41856621425397766,0.5904973093375252,0.34711863848295643,0.4427504601996992,1.0104020822114526,1.2660869565217399,0.1414835164835161,2.118852459016395,0,0
range_expansion_vs_pre10,180,1.4902203334538842,0.8943788245017394,1.2517589118198862,0.5417163939237257,0.8210482566498913,1.9500158177791869,2.6512820512820485,0.21961620469083165,4.18390804597702,0,0
range_expansion_vs_pre60,180,0.5712934601549992,0.31848598990130295,0.4708551752492549,0.2714110563241686,0.36614420062695935,0.7426944833754403,0.9474706023518116,0.12203791469194279,1.7525423728813576,0,0
realized_volatility,180,0.01428127808258629,0.004301176061760762,0.014134758155979758,0.008896789581801894,0.011239834773711358,0.017251636435552622,0.019270519364590188,0.0053472399272445235,0.027147945203867187,0,0
realized_volatility_ratio,180,1.0160826978974113,0.5699768175794981,0.8971720318799223,0.5377659913378455,0.7032926772441784,1.1189919770532342,1.3794962064001912,0.3671325089914761,4.028145706590627,0,0
realized_volatility_ratio_pre10,180,1.0608806519077263,0.5499764938051378,0.9795755152752259,0.4605474623614802,0.6657272217127133,1.2918543590488856,1.8899403518641749,0.24925906978702805,3.146546782941271,0,0
realized_volatility_ratio_pre60,180,1.0362002267602946,0.5744672088409173,0.8944262336083898,0.5916468807235783,0.7158609717914262,1.092814261917498,1.5203550822974403,0.36994397455791467,4.143033535160432,0,0
rolling_range_contraction,180,0.9511071981804471,0.3404025064929744,0.8461644091940702,0.5970870267131628,0.7162657673519882,1.128810880100789,1.4828859720621723,0.35947046843177133,2.067647058823528,0,0
atr_decay,180,0.9511071981804471,0.3404025064929744,0.8461644091940702,0.5970870267131628,0.7162657673519882,1.128810880100789,1.4828859720621723,0.35947046843177133,2.067647058823528,0,0
realized_volatility_decay,180,0.9816978002261452,0.5921128247882929,0.833781393987072,0.37877778650349997,0.6087986369048444,1.217210727035243,1.726987225189289,0.14436746369818698,3.3670718563985265,0,0
inside_bar_fraction,180,0.19998429684619148,0.06197942292249298,0.20689655172413793,0.1111111111111111,0.1694915254237288,0.2222222222222222,0.2631578947368421,0.0,0.3333333333333333,0,0
overlap_ratio,180,0.5754449425775972,0.05868979034248746,0.5889666067668653,0.4939134799160815,0.5375040059707601,0.6146061926631423,0.6393538759190734,0.4058804729945664,0.74404761904762,0,0
body_range_ratio,180,0.4265204234129856,0.0475073070584898,0.4235331806673731,0.36353718447294164,0.398605870473246,0.45433194932487553,0.49106937569396475,0.2888229873329563,0.5840213875872492,0,0
