cluster_id,size,median_signed_return_atr,median_mfe_atr,median_mae_atr,median_efficiency,median_sign_changes,median_range_atr,median_volatility_ratio,median_time_to_mfe,median_time_to_mae,delayed_major_move_count,cluster_name
0,3,-2.9060308555399734,0.35343618513324515,-10.265100671140958,-0.14426633785450066,17.0,11.087248322147673,2.6281665651880814,1.0,7.0,0,TREND_CONTINUATION
1,41,0.5561160151324063,2.2939189189189166,-1.6252681764004753,0.06652587117212219,14.0,4.237534452518168,0.8787797554770784,25.0,6.0,0,RANGE_WHIPSAW
2,1,-5.804259175351153,0.6787494336203022,-7.003171726325329,-0.33212341197822126,15.0,7.68192115994563,0.9630275764905497,2.0,24.0,0,TREND_CONTINUATION
