timeframe,model,state,available_bars,bar_count,bar_fraction,episode_count,mean_dwell,median_dwell,p75_dwell,p90_dwell,max_dwell,state_changes,state_changes_per_100_bars,transition_fraction,largest_state_fraction,quarters_present,nonconsecutive_episode_count,directed_median_dwell
4H,MODEL_A,DOWN,3156,1196,0.37896070975918883,47,25.4468085106383,20.0,35.5,57.4,91,163,5.164765525982256,0.34157160963244615,0.37896070975918883,6,47,16.0
4H,MODEL_A,TRANSITION,3156,1078,0.34157160963244615,82,13.146341463414634,11.0,18.75,27.0,38,163,5.164765525982256,0.34157160963244615,0.37896070975918883,6,82,16.0
4H,MODEL_A,UP,3156,882,0.279467680608365,35,25.2,13.0,30.0,68.6,111,163,5.164765525982256,0.34157160963244615,0.37896070975918883,6,35,16.0
4H,MODEL_B,DOWN_EXPANDING,3156,822,0.26045627376425856,53,15.50943396226415,14.0,20.0,28.0,51,332,10.519645120405578,0.03770595690747782,0.26045627376425856,6,53,5.0
4H,MODEL_B,DOWN_STABLE,3156,251,0.07953105196451205,84,2.988095238095238,2.0,4.0,6.0,15,332,10.519645120405578,0.03770595690747782,0.26045627376425856,6,84,5.0
4H,MODEL_B,DOWN_WEAKENING,3156,700,0.2217997465145754,45,15.555555555555555,13.0,27.0,32.0,46,332,10.519645120405578,0.03770595690747782,0.26045627376425856,6,45,5.0
4H,MODEL_B,TRANSITION,3156,119,0.03770595690747782,28,4.25,4.0,6.0,9.0,11,332,10.519645120405578,0.03770595690747782,0.26045627376425856,6,28,5.0
4H,MODEL_B,UP_EXPANDING,3156,525,0.16634980988593157,33,15.909090909090908,10.0,22.0,34.8,53,332,10.519645120405578,0.03770595690747782,0.26045627376425856,6,33,5.0
4H,MODEL_B,UP_STABLE,3156,160,0.050697084917617236,54,2.962962962962963,2.0,4.0,6.0,11,332,10.519645120405578,0.03770595690747782,0.26045627376425856,6,54,5.0
4H,MODEL_B,UP_WEAKENING,3156,579,0.18346007604562736,36,16.083333333333332,12.5,24.25,35.0,48,332,10.519645120405578,0.03770595690747782,0.26045627376425856,6,36,5.0
4H,MODEL_C,DOWN_EXPANDING,3155,836,0.26497622820919176,49,17.06122448979592,16.0,20.0,29.60000000000001,53,262,8.304278922345484,0.045641838351822506,0.26497622820919176,6,49,8.0
4H,MODEL_C,DOWN_STABLE,3155,226,0.0716323296354992,51,4.431372549019608,3.0,5.0,9.0,15,262,8.304278922345484,0.045641838351822506,0.26497622820919176,6,51,8.0
4H,MODEL_C,DOWN_WEAKENING,3155,697,0.22091917591125199,41,17.0,15.0,27.0,32.0,47,262,8.304278922345484,0.045641838351822506,0.26497622820919176,6,41,8.0
4H,MODEL_C,TRANSITION,3155,144,0.045641838351822506,26,5.538461538461538,5.0,6.75,9.5,22,262,8.304278922345484,0.045641838351822506,0.26497622820919176,6,26,8.0
4H,MODEL_C,UP_EXPANDING,3155,531,0.16830427892234548,28,18.964285714285715,11.5,29.0,41.10000000000001,54,262,8.304278922345484,0.045641838351822506,0.26497622820919176,6,28,8.0
4H,MODEL_C,UP_STABLE,3155,146,0.046275752773375596,35,4.171428571428572,3.0,6.0,7.600000000000001,16,262,8.304278922345484,0.045641838351822506,0.26497622820919176,6,35,8.0
4H,MODEL_C,UP_WEAKENING,3155,575,0.18225039619651348,33,17.424242424242426,14.0,28.0,36.2,48,262,8.304278922345484,0.045641838351822506,0.26497622820919176,6,33,8.0
