open_time,close_time,open,high,low,close,timeframe,ema27,ema200,signed_ema_distance_pct,ema27_slope_6,ema200_slope_24,ema200_slope_change_12,ema_distance_change_6,ema27_slope_noise,ema200_slope_noise,distance_noise,eps_fast,eps_slow,eps_distance,warmup,MODEL_A_state,MODEL_B_state,MODEL_C_state,MODEL_A_direction,MODEL_A_condition,MODEL_B_direction,MODEL_B_condition,MODEL_C_direction,MODEL_C_condition
2023-07-01 00:00:00,2023-07-01 03:59:59.999,0.287,0.29,0.2849,0.286,4H,0.286,0.286,0.0,,,,,,,,,,,True,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP
2023-07-01 04:00:00,2023-07-01 07:59:59.999,0.2861,0.2865,0.2812,0.2864,4H,0.2860285714285714,0.2860039800995025,0.008598247150387914,,,,,,,,,,,True,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP
2023-07-01 08:00:00,2023-07-01 11:59:59.999,0.2863,0.2888,0.285,0.2879,4H,0.28616224489795916,0.2860228459691592,0.04873699103566346,,,,,,,,,,,True,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP
2023-07-01 12:00:00,2023-07-01 15:59:59.999,0.288,0.2938,0.2874,0.2885,4H,0.2863292274052478,0.2860474942679736,0.09849173403709889,,,,,,,,,,,True,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP
2023-07-01 16:00:00,2023-07-01 19:59:59.999,0.2884,0.2896,0.2867,0.2881,4H,0.28645571116201585,0.28606791721058084,0.1355600988801369,,,,,,,,,,,True,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP
2023-07-01 20:00:00,2023-07-01 23:59:59.999,0.288,0.2925,0.2878,0.2924,4H,0.28688030322187186,0.28613092300948056,0.2619011620657524,,,,,,,,,,,True,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP
2023-07-02 00:00:00,2023-07-02 03:59:59.999,0.2924,0.2939,0.2879,0.2889,4H,0.2870245672774524,0.28615847601436134,0.30266140467130387,0.05970671780025638,,,0.30266140467130387,,,,,,,True,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP
2023-07-02 04:00:00,2023-07-02 07:59:59.999,0.2889,0.2908,0.2879,0.2893,4H,0.2871870981862058,0.28618973495949207,0.3484972047844068,0.06750647041121974,,,0.3398989576340189,,,,,,,True,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP
2023-07-02 08:00:00,2023-07-02 11:59:59.999,0.2893,0.2906,0.2868,0.2905,4H,0.28742373403004823,0.2862326231688504,0.41613385924049157,0.07347167295129373,,,0.3673968682048281,,,,,,,True,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP
2023-07-02 12:00:00,2023-07-02 15:59:59.999,0.2905,0.2916,0.2853,0.2891,4H,0.28754346731361624,0.2862611542815982,0.44795216285497436,0.07067854018792952,,,0.3494604288178755,,,,,,,True,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP
2023-07-02 16:00:00,2023-07-02 19:59:59.999,0.2891,0.2913,0.287,0.2893,4H,0.2876689339340722,0.28629139155242805,0.4811679366865989,0.0705881528849539,,,0.345607837806462,,,,,,,True,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP
2023-07-02 20:00:00,2023-07-02 23:59:59.999,0.2893,0.2934,0.2881,0.2916,4H,0.2879497243673528,0.28634421352703077,0.5606926085728117,0.062129346482982704,,,0.29879144650705924,,,,,,,True,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP
2023-07-03 00:00:00,2023-07-03 03:59:59.999,0.2916,0.2965,0.2902,0.2951,4H,0.28846045834111333,0.2864313357804932,0.7084150046261611,0.08337794201619397,,,0.40575359995485727,,,,,,,True,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP
2023-07-03 04:00:00,2023-07-03 07:59:59.999,0.2951,0.2962,0.2908,0.2942,4H,0.2888704256024624,0.28650863592198084,0.8243345520393676,0.09769051992516431,,,0.47583734725496074,,,,,,,True,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP
2023-07-03 08:00:00,2023-07-03 11:59:59.999,0.2943,0.2958,0.2921,0.2948,4H,0.28929396663085793,0.28659113705708555,0.9430960083158499,0.10844804953918559,,,0.5269621490753584,,,,,,,True,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP,WARMUP
