validation_pass,interval,sha256,row_count,first_timestamp,last_timestamp,gap_count,duplicate_count,status
1,15m,af2de17dea5a1e9245d4aa01603bb7db123ca0e663ca65767768d97088cfefc0,105216,2023-01-01T00:00:00Z,2025-12-31T23:45:00Z,0,0,READY
1,1h,f97cad7dfc649a886691d2e333b30ad723a81da7484c8a2e1b2b6f5661d18f00,26304,2023-01-01T00:00:00Z,2025-12-31T23:00:00Z,0,0,READY
1,4h,493fbe702479f02ba7be6f9b3368204d968b4ec4424fddf21f2977e2b200a3ce,6576,2023-01-01T00:00:00Z,2025-12-31T20:00:00Z,0,0,READY
1,1d,86bb77d8db9357d26e162ae2e96e76b641fcb3598994440fe7f71041bfad1e91,1096,2023-01-01T00:00:00Z,2025-12-31T00:00:00Z,0,0,READY
2,15m,af2de17dea5a1e9245d4aa01603bb7db123ca0e663ca65767768d97088cfefc0,105216,2023-01-01T00:00:00Z,2025-12-31T23:45:00Z,0,0,READY
2,1h,f97cad7dfc649a886691d2e333b30ad723a81da7484c8a2e1b2b6f5661d18f00,26304,2023-01-01T00:00:00Z,2025-12-31T23:00:00Z,0,0,READY
2,4h,493fbe702479f02ba7be6f9b3368204d968b4ec4424fddf21f2977e2b200a3ce,6576,2023-01-01T00:00:00Z,2025-12-31T20:00:00Z,0,0,READY
2,1d,86bb77d8db9357d26e162ae2e96e76b641fcb3598994440fe7f71041bfad1e91,1096,2023-01-01T00:00:00Z,2025-12-31T00:00:00Z,0,0,READY
