exchange,category,symbol,source_kind,canonical_path,metadata_path,sha256,requested_start,requested_end_exclusive,actual_first,actual_last,row_count,expected_row_count,gap_count,duplicate_count,conflicting_duplicate_count,off_grid_count,invalid_count,out_of_range_count,status
Bybit,linear,ADAUSDT,15m,/home/nnv/.local/share/msm-market-data/bybit/linear/ADAUSDT/ADAUSDT_15m_2023_2025.csv,/home/nnv/.local/share/msm-market-data/bybit/linear/ADAUSDT/ADAUSDT_15m_2023_2025.csv.meta.json,af2de17dea5a1e9245d4aa01603bb7db123ca0e663ca65767768d97088cfefc0,2023-01-01T00:00:00Z,2026-01-01T00:00:00Z,2023-01-01T00:00:00Z,2025-12-31T23:45:00Z,105216,105216,0,0,0,0,0,0,READY
Bybit,linear,ADAUSDT,1h,/home/nnv/.local/share/msm-market-data/bybit/linear/ADAUSDT/ADAUSDT_1h_2023_2025.csv,/home/nnv/.local/share/msm-market-data/bybit/linear/ADAUSDT/ADAUSDT_1h_2023_2025.csv.meta.json,f97cad7dfc649a886691d2e333b30ad723a81da7484c8a2e1b2b6f5661d18f00,2023-01-01T00:00:00Z,2026-01-01T00:00:00Z,2023-01-01T00:00:00Z,2025-12-31T23:00:00Z,26304,26304,0,0,0,0,0,0,READY
Bybit,linear,ADAUSDT,4h,/home/nnv/.local/share/msm-market-data/bybit/linear/ADAUSDT/ADAUSDT_4h_2023_2025.csv,/home/nnv/.local/share/msm-market-data/bybit/linear/ADAUSDT/ADAUSDT_4h_2023_2025.csv.meta.json,493fbe702479f02ba7be6f9b3368204d968b4ec4424fddf21f2977e2b200a3ce,2023-01-01T00:00:00Z,2026-01-01T00:00:00Z,2023-01-01T00:00:00Z,2025-12-31T20:00:00Z,6576,6576,0,0,0,0,0,0,READY
Bybit,linear,ADAUSDT,1d,/home/nnv/.local/share/msm-market-data/bybit/linear/ADAUSDT/ADAUSDT_1d_2023_2025.csv,/home/nnv/.local/share/msm-market-data/bybit/linear/ADAUSDT/ADAUSDT_1d_2023_2025.csv.meta.json,86bb77d8db9357d26e162ae2e96e76b641fcb3598994440fe7f71041bfad1e91,2023-01-01T00:00:00Z,2026-01-01T00:00:00Z,2023-01-01T00:00:00Z,2025-12-31T00:00:00Z,1096,1096,0,0,0,0,0,0,READY
