endpoint,frozen_parameters,period_start,period_end_exclusive,schema,source_kind,persistent_path,metadata_path,sha256
https://api.bybit.com/v5/market/kline,category=linear|symbol=ADAUSDT|interval=15|limit<=1000,2023-01-01T00:00:00Z,2026-01-01T00:00:00Z,timestamp_utc|open|high|low|close|volume|turnover,15m,/home/nnv/.local/share/msm-market-data/bybit/linear/ADAUSDT/ADAUSDT_15m_2023_2025.csv,/home/nnv/.local/share/msm-market-data/bybit/linear/ADAUSDT/ADAUSDT_15m_2023_2025.csv.meta.json,af2de17dea5a1e9245d4aa01603bb7db123ca0e663ca65767768d97088cfefc0
https://api.bybit.com/v5/market/kline,category=linear|symbol=ADAUSDT|interval=15|limit<=1000,2023-01-01T00:00:00Z,2026-01-01T00:00:00Z,timestamp_utc|open|high|low|close|volume|turnover,1h,/home/nnv/.local/share/msm-market-data/bybit/linear/ADAUSDT/ADAUSDT_1h_2023_2025.csv,/home/nnv/.local/share/msm-market-data/bybit/linear/ADAUSDT/ADAUSDT_1h_2023_2025.csv.meta.json,f97cad7dfc649a886691d2e333b30ad723a81da7484c8a2e1b2b6f5661d18f00
https://api.bybit.com/v5/market/kline,category=linear|symbol=ADAUSDT|interval=15|limit<=1000,2023-01-01T00:00:00Z,2026-01-01T00:00:00Z,timestamp_utc|open|high|low|close|volume|turnover,4h,/home/nnv/.local/share/msm-market-data/bybit/linear/ADAUSDT/ADAUSDT_4h_2023_2025.csv,/home/nnv/.local/share/msm-market-data/bybit/linear/ADAUSDT/ADAUSDT_4h_2023_2025.csv.meta.json,493fbe702479f02ba7be6f9b3368204d968b4ec4424fddf21f2977e2b200a3ce
https://api.bybit.com/v5/market/kline,category=linear|symbol=ADAUSDT|interval=15|limit<=1000,2023-01-01T00:00:00Z,2026-01-01T00:00:00Z,timestamp_utc|open|high|low|close|volume|turnover,1d,/home/nnv/.local/share/msm-market-data/bybit/linear/ADAUSDT/ADAUSDT_1d_2023_2025.csv,/home/nnv/.local/share/msm-market-data/bybit/linear/ADAUSDT/ADAUSDT_1d_2023_2025.csv.meta.json,86bb77d8db9357d26e162ae2e96e76b641fcb3598994440fe7f71041bfad1e91
