instrument,child_scale,parent_direction,parent_start,counter_start,balance_start,reassertion_time,end_time,parent_invalidation_boundary,parent_intact,child_counter_motion,counter_progress_decay,balance_or_overlap,failed_counter_extension,parent_reassertion,reassertion_atr,counter_displacement_atr,counter_efficiency,overlap_ratio,alternation_rate,parent_elapsed_bars,child_elapsed_bars,child_parent_amplitude_ratio,child_parent_duration_ratio,parameter_factor,diagnostic_flag,diagnostic_reason,interval_id,parent_state_time,parent_origin_time,parent_age_bars,parent_full_executable_duration_bars,parent_state_causal_assertion,parent_displacement_atr,parent_efficiency,parent_extension_from_origin_atr,parent_close_location,parent_recent_slope_atr,parent_slope_change_atr,parent_range_expansion_ratio,parent_body_efficiency,distance_to_parent_boundary_atr,distance_from_parent_extreme_atr,parent_maturity_fraction,invalid_measurement_flags,mechanical_redundancy
ADAUSDT,1H_FALLBACK,UP,2023-07-10 20:00:00,2023-07-12 04:00:00,2023-07-12 16:00:00,2023-07-12 20:00:00,2023-07-12 20:00:00,0.2863,0,1,1,1,1,1,0.707317,1.770658,1.0,0.551911,0.333333,8,4,1.164835,0.5,1.0,1,PARENT_BOUNDARY_FAILURE,ADA_0071,2023-07-12 00:00:00,2023-07-10 20:00:00,8,8,1,1.187279151943466,0.1661538461538468,1.6709854731056129,0.7582417582417604,0.19787985865724636,0.17589320769533281,0.913043478260874,0.5909090909090869,1.5170789163722058,0.4837063211621469,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,DOWN,2023-07-12 04:00:00,2023-07-13 12:00:00,2023-07-14 00:00:00,2023-07-14 04:00:00,2023-07-14 04:00:00,0.2954,0,1,1,1,1,1,0.651698,4.996424,1.0,0.538963,0.333333,8,4,8.650943,0.5,1.0,1,PARENT_BOUNDARY_FAILURE,ADA_0079,2023-07-13 08:00:00,2023-07-12 04:00:00,8,8,1,1.1594713656387765,0.16319444444444547,2.1709251101321674,0.613207547169812,0.008223201174742125,-0.2795888399412642,0.6326530612244923,0.0,1.6035242290748921,1.0114537444933909,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,UP,2023-07-13 04:00:00,2023-07-14 12:00:00,2023-07-15 00:00:00,2023-07-15 04:00:00,2023-07-15 04:00:00,0.2858,1,1,1,1,1,1,0.505308,1.31305,0.623881,0.577955,1.0,8,4,0.37861,0.5,1.0,0,,ADA_0085,2023-07-14 08:00:00,2023-07-13 04:00:00,8,8,1,7.320556788380071,0.38732815301852974,10.506354649989916,0.6983957219251338,-0.21088023670230627,-2.764037388205232,0.48209366391184644,-0.38461538461538464,7.377042566068189,3.185797861609845,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,DOWN,2023-07-15 08:00:00,2023-07-16 16:00:00,2023-07-17 04:00:00,2023-07-17 08:00:00,2023-07-17 08:00:00,0.3376,1,1,1,1,0,1,0.761329,0.210764,0.266667,0.656066,0.666667,8,4,0.858537,0.5,1.0,0,,ADA_0098,2023-07-16 12:00:00,2023-07-15 08:00:00,8,8,1,0.8278388278388266,0.23347107438016454,1.12087912087912,0.8048780487804879,-0.024420024420024455,-0.2881562881562891,0.8200000000000056,-0.2631578947368513,1.2087912087912105,0.29304029304029344,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,DOWN,2023-07-17 04:00:00,2023-07-18 12:00:00,2023-07-19 00:00:00,2023-07-19 04:00:00,2023-07-19 04:00:00,0.3197,0,1,0,1,0,1,0.54827,2.05138,0.865169,0.628123,0.666667,8,4,1.443787,0.5,1.0,1,PARENT_BOUNDARY_FAILURE,ADA_0109,2023-07-18 08:00:00,2023-07-17 04:00:00,8,8,1,1.8781994704324783,0.22504230118443305,1.962930273609882,0.9644970414201189,0.3954104148278917,0.4189467490438376,0.7314049586776834,1.0,2.3018534863195046,0.08473080317740368,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,UP,2023-07-18 00:00:00,2023-07-19 08:00:00,2023-07-19 20:00:00,2023-07-20 00:00:00,2023-07-20 00:00:00,0.2996,1,1,0,1,0,1,0.616048,-0.727241,0.345029,0.64582,1.0,8,4,0.95082,0.5,1.0,0,,ADA_0114,2023-07-19 04:00:00,2023-07-18 00:00:00,8,8,1,0.8771084337349413,0.10569105691056929,1.9836144578313257,0.6639344262295093,0.5532530120481947,0.6791967871485974,1.6041666666666667,0.586538461538463,2.1860240963855504,1.1065060240963844,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,UP,2023-07-22 04:00:00,2023-07-23 12:00:00,2023-07-24 00:00:00,2023-07-24 04:00:00,2023-07-24 04:00:00,0.3062,1,1,0,1,0,1,0.591252,0.540715,0.307692,0.614564,0.666667,8,4,0.831858,0.5,1.0,0,,ADA_0139,2023-07-23 08:00:00,2023-07-22 04:00:00,8,8,1,0.32935122220179935,0.040302267002518634,0.9468847638301774,0.7345132743362824,0.308766770814189,0.4185505115481221,1.1521739130434818,0.6216216216216192,1.708509465171839,0.617533541628378,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,UP,2023-07-24 12:00:00,2023-07-25 20:00:00,2023-07-26 08:00:00,2023-07-26 12:00:00,2023-07-26 12:00:00,0.3,1,1,1,1,1,1,0.863436,0.470193,1.0,0.773083,0.333333,8,4,0.692308,0.5,1.0,0,,ADA_0153,2023-07-25 16:00:00,2023-07-24 12:00:00,8,8,1,0.0732864387371196,0.011173184357542203,0.9527237035825344,0.3846153846153835,-0.0244288129123732,-0.030536016140465652,1.2038834951456177,-0.15384615384615877,0.5496482905283817,0.8794372648454148,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,UP,2023-07-26 08:00:00,2023-07-27 16:00:00,2023-07-28 04:00:00,2023-07-28 08:00:00,2023-07-28 08:00:00,0.3003,1,1,1,1,1,1,0.77643,-0.168501,0.368421,0.539245,0.666667,8,4,0.545455,0.5,1.0,0,,ADA_0164,2023-07-27 12:00:00,2023-07-26 08:00:00,8,8,1,1.678752278711759,0.20385674931129372,2.767672675713993,0.636363636363634,-0.09830531361825842,-0.4385929376814548,0.6823529411764754,-0.44827586206893516,1.90561069475389,1.0889203970022336,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,UP,2023-07-27 12:00:00,2023-07-28 20:00:00,2023-07-29 08:00:00,2023-07-29 12:00:00,2023-07-29 12:00:00,0.3053,1,1,0,1,0,1,0.533632,0.257985,0.257143,0.634286,0.666667,8,4,0.62963,0.5,1.0,0,,ADA_0171,2023-07-28 16:00:00,2023-07-27 12:00:00,8,8,1,0.6247586354859581,0.09059233449477497,1.1293713795322977,0.7407407407407418,0.280340413359079,0.22427233068726055,1.382716049382722,1.0,1.4417506972752634,0.5046127440463395,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
