control_id,matched_move_id,direction,control_event_time,window_bars,net_return,abs_path_pct,efficiency_ratio,up_candle_share,down_candle_share,direction_changes,max_directional_run,range_pct,close_position_in_range,avg_body_change_first_to_last_third,avg_true_range_change_first_to_last_third,new_high_count,new_low_count,max_pullback_pct,failed_previous_direction_attempt,last5_directions,last5_bodies,last5_extremes,last5_acceleration,window_start_time,window_end_time,window_bars_available,assigned_state
M01_C3,M01,LONG,2023-08-07 20:00,10,-0.018348623853211062,0.04689092762487288,0.39130434782608553,0.5,0.5,5,3,0.050288820931022694,0.52027027027027,2.3092638912203256e-14,1.0459770114942413,1,5,0.020013568521031262,False,UDUDD,0.002200;0.001800;0.000600;0.003900;0.000300,H=0.296000;L=0.281200,true,2023-08-06 04:00,2023-08-07 16:00,10,UNKNOWN
M01_C3,M01,LONG,2023-08-07 20:00,5,-0.018348623853211062,0.02242609582059159,0.8181818181818075,0.4,0.6,2,2,0.050288820931022694,0.52027027027027,-0.8636363636363522,0.673076923076926,0,2,0.018348623853211062,False,UDUDD,0.002200;0.001800;0.000600;0.003900;0.000300,H=0.296000;L=0.281200,true,2023-08-07 00:00,2023-08-07 16:00,5,UNKNOWN
M01_C4,M01,LONG,2023-08-11 20:00,50,-0.009453072248480838,0.21201890614449684,0.04458598726114691,0.52,0.46,28,3,0.0722484807562457,0.5700934579439254,-0.22772277227723015,-0.22416812609456815,3,3,0.025572899368980356,False,DUUDD,0.000200;0.000200;0.000200;0.002300;0.000700,H=0.297500;L=0.293000,true,2023-08-03 12:00,2023-08-11 16:00,50,CHOP
M01_C4,M01,LONG,2023-08-11 20:00,30,0.004450530640191605,0.1276959945224238,0.034852546916889215,0.5,0.4666666666666667,15,3,0.07326258130777122,0.5700934579439254,-0.3888888888888886,-0.42243436754176467,4,3,0.025572899368980356,False,DUUDD,0.000200;0.000200;0.000200;0.002300;0.000700,H=0.297500;L=0.293000,true,2023-08-06 20:00,2023-08-11 16:00,30,CHOP
M01_C4,M01,LONG,2023-08-11 20:00,20,-0.006097560975609836,0.07249322493224886,0.08411214953271193,0.45,0.5,9,3,0.03489159891598908,0.10679611650485364,-0.5445544554455346,-0.5019920318725086,2,0,0.025572899368980356,False,DUUDD,0.000200;0.000200;0.000200;0.002300;0.000700,H=0.297500;L=0.293000,true,2023-08-08 12:00,2023-08-11 16:00,20,RANGE
M01_C4,M01,LONG,2023-08-11 20:00,10,-0.012453719286435481,0.017165937394816727,0.7254901960784207,0.4,0.6,3,3,0.02692696061932012,0.05000000000000139,-0.2000000000000166,-0.29473684210525974,1,5,0.01344989912575657,False,DUUDD,0.000200;0.000200;0.000200;0.002300;0.000700,H=0.297500;L=0.293000,true,2023-08-10 04:00,2023-08-11 16:00,10,UNKNOWN
M01_C4,M01,LONG,2023-08-11 20:00,5,-0.008783783783783755,0.011486486486486534,0.7647058823529355,0.4,0.6,1,2,0.015202702702702717,0.08888888888889136,2.4999999999993063,-0.3214285714285594,0,2,0.010121457489878551,False,DUUDD,0.000200;0.000200;0.000200;0.002300;0.000700,H=0.297500;L=0.293000,true,2023-08-11 00:00,2023-08-11 16:00,5,UNKNOWN
M01_C5,M01,LONG,2023-07-30 20:00,50,-0.014668367346938754,0.2570153061224499,0.05707196029776646,0.52,0.46,26,5,0.0618622448979591,0.4793814432989685,-0.4889434889434895,-0.4056179775280906,2,4,0.049526813880126155,False,UUDDD,0.000900;0.000900;0.000100;0.000600;0.004900,H=0.318100;L=0.307100,true,2023-07-22 12:00,2023-07-30 16:00,50,CHOP
M01_C5,M01,LONG,2023-07-30 20:00,30,0.018121911037891285,0.126853377265239,0.14285714285714285,0.5333333333333333,0.43333333333333335,12,5,0.05996705107084018,0.5,0.038461538461538325,-0.2069767441860474,9,3,0.017800381436745054,False,UUDDD,0.000900;0.000900;0.000100;0.000600;0.004900,H=0.318100;L=0.307100,true,2023-07-25 20:00,2023-07-30 16:00,30,RANGE
M01_C5,M01,LONG,2023-07-30 20:00,20,0.0012961762799741136,0.07647440051847054,0.01694915254237336,0.5,0.45,8,5,0.04212572909915752,0.3000000000000009,-0.13483146067416085,-0.008438818565404516,5,1,0.017800381436745054,False,UUDDD,0.000900;0.000900;0.000100;0.000600;0.004900,H=0.318100;L=0.307100,true,2023-07-27 12:00,2023-07-30 16:00,20,RANGE
M01_C5,M01,LONG,2023-07-30 20:00,10,-0.005151320025756569,0.04121056020605273,0.12499999999999946,0.5,0.5,2,5,0.035415325177076656,0.17272727272727373,0.39999999999999725,0.7721518987341871,2,2,0.017800381436745054,False,UUDDD,0.000900;0.000900;0.000100;0.000600;0.004900,H=0.318100;L=0.307100,true,2023-07-29 04:00,2023-07-30 16:00,10,RANGE
M01_C5,M01,LONG,2023-07-30 20:00,5,-0.014982467325470138,0.020720433535224757,0.7230769230769196,0.4,0.6,1,3,0.035065349059611124,0.17272727272727373,4.444444444444725,2.8095238095238297,1,1,0.017800381436745054,False,UUDDD,0.000900;0.000900;0.000100;0.000600;0.004900,H=0.318100;L=0.307100,true,2023-07-30 00:00,2023-07-30 16:00,5,UNKNOWN
M02_C1,M02,SHORT,2023-07-18 04:00,50,0.0890218156228008,0.7378606615059816,0.12064854554124935,0.42,0.56,22,5,0.35714285714285704,0.3133004926108375,0.7447698744769771,0.6632653061224505,10,1,0.2763250883392228,True,DUDUD,0.005200;0.001700;0.003200;0.001800;0.002200,H=0.318900;L=0.305000,false,2023-07-09 20:00,2023-07-18 00:00,50,CHOP
M02_C1,M02,SHORT,2023-07-18 04:00,30,0.08103388054488299,0.6119455117010126,0.13242009132420096,0.4,0.6,13,5,0.3269297939224588,0.2553418803418802,-0.7630208333333344,-0.628087167070218,4,0,0.26161369193154044,True,DUDUD,0.005200;0.001700;0.003200;0.001800;0.002200,H=0.318900;L=0.305000,false,2023-07-13 04:00,2023-07-18 00:00,30,TRANSITION
M02_C1,M02,SHORT,2023-07-18 04:00,20,-0.0555386023802258,0.163564235581324,0.33955223880597085,0.35,0.65,10,5,0.09856576136710404,0.13931888544891655,-0.26760563380281954,0.12619047619047552,2,4,0.02513795217657874,False,DUDUD,0.005200;0.001700;0.003200;0.001800;0.002200,H=0.318900;L=0.305000,false,2023-07-14 20:00,2023-07-18 00:00,20,SAME_TREND
M02_C1,M02,SHORT,2023-07-18 04:00,10,-0.03552508569647872,0.08039887815518815,0.44186046511628196,0.3,0.7,6,2,0.05983172327827982,0.23437500000000028,-0.10000000000000975,-0.017699115044250813,0,3,0.011768447837150066,False,DUDUD,0.005200;0.001700;0.003200;0.001800;0.002200,H=0.318900;L=0.305000,false,2023-07-16 12:00,2023-07-18 00:00,10,UNKNOWN
M02_C1,M02,SHORT,2023-07-18 04:00,5,-0.006101477199743136,0.0285806037251121,0.2134831460674194,0.4,0.6,3,1,0.04463712267180483,0.32374100719424437,-0.5769230769230793,-0.6187050359712257,0,0,0.005808325266214806,False,DUDUD,0.005200;0.001700;0.003200;0.001800;0.002200,H=0.318900;L=0.305000,false,2023-07-17 08:00,2023-07-18 00:00,5,UNKNOWN
M02_C2,M02,SHORT,2023-07-15 08:00,50,0.1866572036905606,0.676366217175302,0.2759706190975863,0.52,0.46,21,5,0.36692689850958127,0.5667311411992262,4.309433962264146,2.5909090909090917,11,0,0.293233082706767,True,DDUDU,0.003800;0.026300;0.006600;0.001500;0.008200,H=0.351500;L=0.316200,false,2023-07-07 00:00,2023-07-15 04:00,50,OPPOSITE_TREND
M02_C2,M02,SHORT,2023-07-15 08:00,30,0.17415730337078644,0.5716292134831462,0.3046683046683044,0.5333333333333333,0.43333333333333335,12,5,0.34901685393258425,0.5492957746478873,4.205882352941155,3.4269911504424764,8,0,0.2682584269662922,True,DDUDU,0.003800;0.026300;0.006600;0.001500;0.008200,H=0.351500;L=0.316200,false,2023-07-10 08:00,2023-07-15 04:00,30,OPPOSITE_TREND
M02_C2,M02,SHORT,2023-07-15 08:00,20,0.14168658245134852,0.4919767838852851,0.28799444829979165,0.5,0.5,8,5,0.3226357118470467,0.5259259259259257,3.586538461538473,2.452054794520552,3,3,0.2620545073375262,True,DDUDU,0.003800;0.026300;0.006600;0.001500;0.008200,H=0.351500;L=0.316200,false,2023-07-12 00:00,2023-07-15 04:00,20,OPPOSITE_TREND
M02_C2,M02,SHORT,2023-07-15 08:00,10,-0.039356506750933766,0.19965527147371445,0.197122302158274,0.5,0.5,4,4,0.19965527147371445,0.35539568345323735,-0.6726907630522092,-0.7619485294117649,1,0,0.0414201183431952,True,DDUDU,0.003800;0.026300;0.006600;0.001500;0.008200,H=0.351500;L=0.316200,false,2023-07-13 16:00,2023-07-15 04:00,10,TRANSITION
M02_C2,M02,SHORT,2023-07-15 08:00,5,-0.037420840529648856,0.12262521588946451,0.30516431924882675,0.4,0.6,3,1,0.10161197466896948,0.5155807365439092,1.1578947368420867,0.41666666666666785,0,1,0.0414201183431952,False,DDUDU,0.003800;0.026300;0.006600;0.001500;0.008200,H=0.351500;L=0.316200,false,2023-07-14 12:00,2023-07-15 04:00,5,UNKNOWN
M02_C3,M02,SHORT,2025-05-19 20:00,50,-0.06090920602760532,0.7216664556160561,0.08440077206527455,0.42,0.58,26,6,0.19691021907053308,0.20707395498392292,0.18886198547215716,-0.18490406915454272,4,11,0.07897117745896333,True,DDUUU,0.031500;0.004500;0.004500;0.008100;0.005800,H=0.764600;L=0.709400,false,2025-05-11 12:00,2025-05-19 16:00,50,CHOP
M02_C3,M02,SHORT,2025-05-19 20:00,30,-0.07102593010146557,0.4315420268069646,0.16458635703918725,0.4,0.6,17,4,0.1261430539897282,0.3197616683217478,1.1841432225063961,0.05365659777424381,1,8,0.05337690631808265,True,DDUUU,0.031500;0.004500;0.004500;0.008100;0.005800,H=0.764600;L=0.709400,false,2025-05-14 20:00,2025-05-19 16:00,30,CHOP
M02_C3,M02,SHORT,2025-05-19 20:00,20,-0.04739884393063575,0.3454078355812459,0.13722573447378186,0.4,0.6,11,3,0.09672447013487466,0.42762284196547196,0.385761589403975,0.21669218989280425,0,6,0.05337690631808265,True,DDUUU,0.031500;0.004500;0.004500;0.008100;0.005800,H=0.764600;L=0.709400,false,2025-05-16 12:00,2025-05-19 16:00,20,TRANSITION
M02_C3,M02,SHORT,2025-05-19 20:00,10,-0.022796152325734592,0.19699565160100155,0.11571906354515032,0.6,0.4,5,3,0.08841744630386077,0.47988077496274273,-0.5760368663594451,-0.12166666666666293,2,3,0.040142485271955054,True,DDUUU,0.031500;0.004500;0.004500;0.008100;0.005800,H=0.764600;L=0.709400,false,2025-05-18 04:00,2025-05-19 16:00,10,RANGE
M02_C3,M02,SHORT,2025-05-19 20:00,5,0.019101277999175516,0.031469011955476356,0.606986899563316,0.6,0.4,1,3,0.07585543493197734,0.5833333333333344,-0.8158730158730149,-0.5610389610389601,0,1,0.02544247787610631,False,DDUUU,0.031500;0.004500;0.004500;0.008100;0.005800,H=0.764600;L=0.709400,false,2025-05-19 00:00,2025-05-19 16:00,5,UNKNOWN
