symbol,representation,geometry,bin,support_count,support_concentration,distribution_distance,rank_order_agreement,up_support,down_support,third_1_support,third_2_support,third_3_support,paired_rank_contrast,fraction_above_control,distribution_overlap,equal_support_fixed_contrast
ADAUSDT,DIRECTION_RUN,displacement_atr,Q4,107,0.37383177570093457,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,47,60,32,35,40,0.9813084112149533,0.9906542056074766,0.42006674054878346,0.9813084112149533
ADAUSDT,DIRECTION_RUN,efficiency,<0.25,265,0.35094339622641507,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,124,141,93,86,86,1.0,1.0,0.4065268632994743,0.9924528301886792
ADAUSDT,DIRECTION_RUN,efficiency,0.25-0.50,136,0.36764705882352944,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,51,85,43,50,43,0.9852941176470589,0.9926470588235294,0.38589605956681095,0.9852941176470589
ADAUSDT,DIRECTION_RUN,efficiency,0.50-0.75,24,0.5,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,17,7,6,6,12,1.0,1.0,0.44436332796641237,1.0
ADAUSDT,DIRECTION_RUN,efficiency,>=0.75,0,0.0,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,0,0,0,0,0,0.0,0.0,0.0,0.0
ADAUSDT,DIRECTION_RUN,distance_to_boundary_atr,Q1,106,0.3584905660377358,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,50,56,38,36,32,1.0,1.0,0.3941949395033774,1.0
ADAUSDT,DIRECTION_RUN,distance_to_boundary_atr,Q2,106,0.3490566037735849,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,55,51,37,34,35,1.0,1.0,0.4066324759045847,1.0
ADAUSDT,DIRECTION_RUN,distance_to_boundary_atr,Q3,106,0.3490566037735849,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,41,65,36,33,37,1.0,1.0,0.38709048457077533,1.0
ADAUSDT,DIRECTION_RUN,distance_to_boundary_atr,Q4,107,0.3644859813084112,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,46,61,31,39,37,0.9813084112149533,0.9906542056074766,0.4201579939149038,0.9813084112149533
ADAUSDT,ATR_ORIGIN,age_bars,1-2,0,0.0,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,0,0,0,0,0,0.0,0.0,0.0,0.0
ADAUSDT,ATR_ORIGIN,age_bars,3-4,70,0.37142857142857144,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,28,42,19,26,25,0.9714285714285714,0.9857142857142858,0.4209929043665163,1.0
ADAUSDT,ATR_ORIGIN,age_bars,5-8,182,0.35714285714285715,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,84,98,65,57,60,1.0,1.0,0.3918994164441833,1.0
ADAUSDT,ATR_ORIGIN,age_bars,9+,139,0.3381294964028777,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,61,78,46,47,46,1.0,1.0,0.4138566985967629,0.9856115107913669
ADAUSDT,ATR_ORIGIN,displacement_atr,Q1,97,0.35051546391752575,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,39,58,31,32,34,1.0,1.0,0.36416947068192146,1.0
ADAUSDT,ATR_ORIGIN,displacement_atr,Q2,98,0.3877551020408163,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,43,55,32,28,38,1.0,1.0,0.4210931644232727,1.0
ADAUSDT,ATR_ORIGIN,displacement_atr,Q3,97,0.41237113402061853,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,46,51,24,40,33,1.0,1.0,0.46644435936704215,1.0
ADAUSDT,ATR_ORIGIN,displacement_atr,Q4,99,0.43434343434343436,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,45,54,43,30,26,0.9797979797979798,0.98989898989899,0.36853137954765014,1.0
ADAUSDT,ATR_ORIGIN,efficiency,<0.25,222,0.34684684684684686,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,99,123,77,72,73,1.0,1.0,0.3975423026266096,0.990990990990991
ADAUSDT,ATR_ORIGIN,efficiency,0.25-0.50,149,0.348993288590604,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,63,86,47,50,52,0.9865771812080537,0.9932885906040269,0.40503088304903706,1.0
ADAUSDT,ATR_ORIGIN,efficiency,0.50-0.75,20,0.4,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,11,9,6,8,6,1.0,1.0,0.4858642723016856,1.0
ADAUSDT,ATR_ORIGIN,efficiency,>=0.75,0,0.0,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,0,0,0,0,0,0.0,0.0,0.0,0.0
ADAUSDT,ATR_ORIGIN,distance_to_boundary_atr,Q1,97,0.35051546391752575,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,39,58,31,34,32,1.0,1.0,0.39947767139817075,1.0
ADAUSDT,ATR_ORIGIN,distance_to_boundary_atr,Q2,98,0.41836734693877553,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,36,62,29,41,28,1.0,1.0,0.4088074710578311,1.0
ADAUSDT,ATR_ORIGIN,distance_to_boundary_atr,Q3,97,0.3917525773195876,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,43,54,38,24,35,0.979381443298969,0.9896907216494846,0.39966098491922636,1.0
