symbol,source_path,source_interval,target_interval,alignment_rule,expected_components,complete_aggregates,incomplete_aggregates,first_complete_timestamp_utc,last_complete_timestamp_utc,dropped_reasons,native_overlap_equality,conflict_status
ADAUSDT,experiments/EXP-011_MULTISCALE_EMA_TREND_BACKBONE/artifacts/ohlc_1h.csv,1H,1H,UTC bucket; all component open timestamps required; closed components only,1,13200,0,2023-07-01T00:00:00Z,2024-12-31T23:00:00Z,NONE,NOT_APPLICABLE,NONE
ADAUSDT,experiments/EXP-011_MULTISCALE_EMA_TREND_BACKBONE/artifacts/ohlc_1h.csv,1H,4H,UTC bucket; all component open timestamps required; closed components only,4,3300,0,2023-07-01T00:00:00Z,2024-12-31T20:00:00Z,NONE,3300/3300,NONE
