zone_id,model,display_start_open_time,last_aligned_run_start_open_time,last_aligned_run_end_open_time,zone_start_open_time,first_core_trigger_open_time,bounds_confirmation_open_time,upper_seed_source,upper_seed_start_open_time,upper_seed_end_open_time,upper_wick_reference,upper_body_candidates,lower_wick_reference,lower_body_candidates,bounds_fallback_used,initial_upper_bound,initial_lower_bound,final_upper_bound,final_lower_bound,effective_exit_open_time,exit_confirmation_open_time,effective_exit_boundary_time,exit_confirmation_boundary_time,exit_direction,resolution_kind,accepted_extension_count,rejected_excursion_count,wick_only_rejection_count,close_inside_fraction,boundary_version_count,core_trigger_count,open_at_train_end,final_width,final_width_atr,source_r5_sections,r1_mapping,section_price_high,section_price_low,display_box_top,display_box_bottom
Z001,ACCEPTED_EXTENSION_BODY_BOUNDS,2023-10-29 12:00:00,2023-10-22 12:00:00,2023-10-31 08:00:00,2023-10-31 12:00:00,2023-10-31 16:00:00,2023-10-31 20:00:00,LAST_ALIGNED_RUN,2023-10-22 12:00:00,2023-10-31 08:00:00,0.3046,0.30310000;0.30310000;0.30170000,0.2845,0.28950000;0.28950000;0.29220000,False,0.3031,0.2895,0.3031,0.2875,2023-11-02 04:00:00,2023-11-02 16:00:00,2023-11-02 08:00:00,2023-11-02 20:00:00,UP,ACCEPTED_UPSIDE_EXIT_R2,1,0,0,0.6363636363636364,2,3,False,0.015600000000000003,2.333993933302456,LC001,R1_LC001,0.3124,0.2839,0.30388,0.28672
Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,2023-11-10 16:00:00,2023-11-10 16:00:00,2023-11-12 12:00:00,2023-11-12 16:00:00,2023-11-13 08:00:00,2023-11-14 04:00:00,LAST_ALIGNED_RUN,2023-11-10 16:00:00,2023-11-12 12:00:00,0.3951,0.39050000;0.39050000;0.38790000,0.35,0.35680000;0.35680000;0.35880000,False,0.3905,0.3568,0.3905,0.3568,2023-11-24 00:00:00,2023-11-24 12:00:00,2023-11-24 04:00:00,2023-11-24 16:00:00,UP,ACCEPTED_UPSIDE_EXIT_R2,0,3,3,0.855072463768116,1,19,False,0.03370000000000001,3.5799835677195224,LC002,R1_LC002,0.4095,0.34,0.392185,0.355115
Z003,ACCEPTED_EXTENSION_BODY_BOUNDS,2023-11-24 08:00:00,2023-11-25 12:00:00,2023-11-26 04:00:00,2023-11-26 08:00:00,2023-11-26 16:00:00,2023-11-28 12:00:00,LAST_ALIGNED_RUN,2023-11-25 12:00:00,2023-11-26 04:00:00,0.3959,0.39500000;0.39490000;0.39490000,0.3693,0.37380000;0.37390000;0.37410000,False,0.3949,0.3739,0.3976,0.3739,2023-12-04 00:00:00,2023-12-04 16:00:00,2023-12-04 04:00:00,2023-12-04 20:00:00,UP,ACCEPTED_UPSIDE_EXIT_R2,1,0,0,0.9574468085106383,2,11,False,0.0237,3.899531031862073,LC002,R1_LC002,0.4073,0.3693,0.398785,0.372715
Z004,ACCEPTED_EXTENSION_BODY_BOUNDS,2023-12-09 00:00:00,2023-12-05 12:00:00,2023-12-10 20:00:00,2023-12-11 00:00:00,2023-12-11 16:00:00,2023-12-12 00:00:00,LAST_ALIGNED_RUN,2023-12-05 12:00:00,2023-12-10 20:00:00,0.6474,0.62440000;0.62430000;0.62310000,0.5106,0.53270000;0.53280000;0.54560000,False,0.6243,0.5328,0.6243,0.5328,2023-12-13 16:00:00,2023-12-14 04:00:00,2023-12-13 20:00:00,2023-12-14 08:00:00,UP,ACCEPTED_UPSIDE_EXIT_R2,0,0,0,0.8823529411764706,1,1,False,0.09149999999999991,2.9528362985725156,LC003,R1_LC003,0.652,0.5106,0.628875,0.5282250000000001
Z005,ACCEPTED_EXTENSION_BODY_BOUNDS,2023-12-13 12:00:00,2023-12-13 08:00:00,2023-12-15 08:00:00,2023-12-15 12:00:00,2023-12-15 20:00:00,2023-12-16 12:00:00,LAST_ALIGNED_RUN,2023-12-13 08:00:00,2023-12-15 08:00:00,0.68,0.66770000;0.66750000;0.65720000,0.5865,0.60040000;0.60040000;0.61210000,False,0.6675,0.6004,0.6675,0.6004,2023-12-17 04:00:00,2023-12-17 16:00:00,2023-12-17 08:00:00,2023-12-17 20:00:00,DOWN,ACCEPTED_DOWNSIDE_EXIT_R2,0,0,0,0.9090909090909091,1,3,False,0.06709999999999994,2.94737302492163,LC003,R1_LC003,0.6426,0.5865,0.670855,0.597045
Z006,ACCEPTED_EXTENSION_BODY_BOUNDS,2023-12-16 04:00:00,,,2023-12-18 04:00:00,2023-12-20 04:00:00,2023-12-18 16:00:00,PRIOR_12_BARS_FALLBACK,2023-12-16 04:00:00,2023-12-18 00:00:00,0.6258,0.62210000;0.62200000;0.61640000,0.5435,0.55980000;0.55990000;0.56680000,False,0.622,0.5599,0.6615,0.5599,2024-01-03 16:00:00,2024-01-04 04:00:00,2024-01-03 20:00:00,2024-01-04 08:00:00,DOWN,ACCEPTED_DOWNSIDE_EXIT_R2,2,0,0,0.99,3,45,False,0.10160000000000002,4.9615062114257364,LC003,R1_LC003,0.6769,0.5,0.66658,0.55482
