model,parent_id,display_start_open_time,parent_start_open_time,first_core_trigger_open_time,bounds_confirmation_open_time,initial_upper_bound,initial_lower_bound,final_upper_bound,final_lower_bound,upper_wick_reference,lower_wick_reference,boundary_version_count,internal_phase_count_by_type,internal_phase_count,local_candidate_count,accepted_price_regime_up_count,accepted_price_regime_down_count,ema_regime_count_by_scale_direction,joint_candidate_count,failed_joint_count,resolution_direction,resolution_kind,effective_resolution_open_time,local_price_confirmation_open_time,joint_overlap_open_time,parent_resolution_confirmation_open_time,actual_final_bar_used,open_at_train_end,r1_mapping,r2_mapping,r3_mapping,r5_mapping,display_box_top,display_box_bottom
R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P001,2023-10-29 12:00:00,2023-10-31 12:00:00,2023-10-31 16:00:00,2023-10-31 20:00:00,0.3031,0.2895,0.3031,0.2875,0.3046,0.2845,2,INTERNAL_ACCEPTED_DOWN_EXTENSION:1;INTERNAL_UP_DEPARTURE:1,2,2,1,0,BOOTSTRAP_EMA12_UP:1,1,0,UP,CONFIRMED_PARENT_UP_RESOLUTION,2023-11-02 04:00:00,2023-11-02 16:00:00,2023-11-02 20:00:00,2023-11-04 16:00:00,2023-11-04 16:00:00,False,Z001,Z001,P001,LC001,0.30388,0.28672
R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P002,2023-11-10 16:00:00,2023-11-12 16:00:00,2023-11-13 08:00:00,2023-11-14 04:00:00,0.3905,0.3568,0.3976,0.3568,0.3951,0.35,3,INTERNAL_ACCEPTED_UP_EXTENSION:1;INTERNAL_FAILED_JOINT_UP_RESOLUTION:1;INTERNAL_REJECTED_DOWN_EXCURSION:1;INTERNAL_REJECTED_UP_EXCURSION:2;INTERNAL_UP_DEPARTURE:1,6,6,2,0,BOOTSTRAP_EMA12_DOWN:1;PARENT_EMA24_UP:2,3,2,UP,CONFIRMED_PARENT_UP_RESOLUTION,2023-12-04 00:00:00,2023-12-04 16:00:00,2023-12-04 20:00:00,2023-12-06 16:00:00,2023-12-06 16:00:00,False,Z002,Z002;Z003,P002,LC002,0.39964,0.35476
R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P003,2023-12-09 00:00:00,2023-12-11 00:00:00,2023-12-11 16:00:00,2023-12-12 00:00:00,0.6243,0.5328,0.6675,0.5328,0.6474,0.5106,2,INTERNAL_DOWN_DEPARTURE:1;INTERNAL_UP_DEPARTURE:1,2,2,1,1,PARENT_EMA24_DOWN:1;PARENT_EMA24_UP:1,1,0,DOWN,CONFIRMED_PARENT_DOWN_RESOLUTION,2024-01-05 16:00:00,2024-01-06 08:00:00,2024-01-06 12:00:00,2024-01-08 08:00:00,2024-01-08 08:00:00,False,Z003,Z004;Z005;Z006,P003,LC003,0.674235,0.526065
