rearm_event_id,rearm_kind,rearm_open_time,previous_confirmation_open_time
PR001,RETURN_REARM,2023-10-21 00:00:00,2023-10-19 04:00:00
PR002,NEW_BAND_REARM,2023-11-24 12:00:00,2023-11-20 12:00:00
PR003,NEW_BAND_REARM,2023-12-07 00:00:00,2023-12-03 00:00:00
PR004,RETURN_REARM,2023-12-31 04:00:00,2023-12-28 04:00:00
PR005,NEW_BAND_REARM,2024-01-07 20:00:00,2024-01-03 20:00:00
