layer,zone_count,accepted_exit_count,accepted_upside_exit_count,accepted_downside_exit_count,accepted_exits_with_same_direction_ema27_departure,accepted_exits_without_same_direction_ema27_departure,description
PRICE_ONLY_ACCEPTANCE,6,6,4,2,,,primary R2 price-zone state machine only
PRICE_PLUS_EMA_GEOMETRY,6,6,4,2,4,2,same price exits annotated by most recent confirmed EMA27 band departure
