parent_zone_id,phase_id,price_attempt_id,direction,old_upper_bound,old_lower_bound,proposed_body_boundary,new_upper_bound,new_lower_bound,outside_body_values_used,wick_extreme_ignored,boundary_version,last_timestamp_used
P001,PH001,XA001,DOWN,0.3031,0.2895,0.2875,0.3031,0.2875,0.28740000;0.28750000;0.28800000,0.2839,2,2023-11-02 00:00:00
P002,PH007,XA007,UP,0.3905,0.3568,0.3976,0.3976,0.3568,0.39760000;0.39760000;0.39680000,0.403,2,2023-12-03 16:00:00
P003,PH011,XA011,UP,0.6243,0.5328,0.6351,0.6351,0.5328,0.63520000;0.63510000;0.62260000,0.6513,2,2023-12-23 08:00:00
P003,PH012,XA012,UP,0.6351,0.5328,0.6615,0.6615,0.5328,0.66160000;0.66150000;0.66010000,0.6769,3,2023-12-28 20:00:00
