rearm_event_id,model,scale,rearm_kind,rearm_open_time,previous_confirmation_open_time,first_prior_window_open_time,first_prior_window_strictly_after_previous_confirmation
ER001,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,BOOTSTRAP_EMA12,RETURN_REARM,2023-11-17 00:00:00,2023-11-15 16:00:00,,True
ER002,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,PARENT_EMA24,NEW_BAND_REARM,2023-12-03 20:00:00,2023-11-21 04:00:00,2023-11-28 20:00:00,True
ER003,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,PARENT_EMA24,RETURN_REARM,2023-12-31 04:00:00,2023-12-28 04:00:00,,True
ER001,PRICE_PLUS_ACTIVE_INTERNAL_EMA12_BASELINE_R4,BOOTSTRAP_EMA12,RETURN_REARM,2023-11-17 00:00:00,2023-11-15 16:00:00,,True
ER002,PRICE_PLUS_ACTIVE_INTERNAL_EMA12_BASELINE_R4,BOOTSTRAP_EMA12,NEW_BAND_REARM,2023-12-02 20:00:00,2023-11-24 16:00:00,2023-11-30 16:00:00,True
ER003,PRICE_PLUS_ACTIVE_INTERNAL_EMA12_BASELINE_R4,BOOTSTRAP_EMA12,NEW_BAND_REARM,2023-12-22 00:00:00,2023-12-18 04:00:00,2023-12-19 20:00:00,True
ER004,PRICE_PLUS_ACTIVE_INTERNAL_EMA12_BASELINE_R4,BOOTSTRAP_EMA12,NEW_BAND_REARM,2023-12-28 04:00:00,2023-12-22 00:00:00,2023-12-26 00:00:00,True
ER005,PRICE_PLUS_ACTIVE_INTERNAL_EMA12_BASELINE_R4,BOOTSTRAP_EMA12,RETURN_REARM,2023-12-31 04:00:00,2023-12-28 04:00:00,,True
