zone_id,attempt_id,model,direction,candidate_open_time,rejection_open_time,old_upper_bound,old_lower_bound,proposed_body_boundary,new_upper_bound,new_lower_bound,outside_close_count,outside_body_values_used,wick_extreme_ignored,boundary_version
Z001,XA001,ACCEPTED_EXTENSION_BODY_BOUNDS,DOWN,2023-11-01 04:00:00,2023-11-02 00:00:00,0.3031,0.2895,0.2875,0.3031,0.2875,3,0.28740000;0.28750000;0.28800000,0.2839,2
Z003,XA007,ACCEPTED_EXTENSION_BODY_BOUNDS,UP,2023-12-02 20:00:00,2023-12-03 16:00:00,0.3949,0.3739,0.3976,0.3976,0.3739,3,0.39760000;0.39760000;0.39680000,0.403,2
Z006,XA011,ACCEPTED_EXTENSION_BODY_BOUNDS,UP,2023-12-21 20:00:00,2023-12-23 08:00:00,0.622,0.5599,0.6351,0.6351,0.5599,3,0.63520000;0.63510000;0.62260000,0.6513,2
Z006,XA012,ACCEPTED_EXTENSION_BODY_BOUNDS,UP,2023-12-28 00:00:00,2023-12-28 20:00:00,0.6351,0.5599,0.6615,0.6615,0.5599,3,0.66160000;0.66150000;0.66010000,0.6769,3
