extension_id,model,parent_id,phase_id,price_regime_id,direction,old_upper_bound,old_lower_bound,proposed_body_boundary,new_upper_bound,new_lower_bound,outside_body_values_used,wick_extreme_ignored,boundary_version,evidence_start_open_time,evidence_end_open_time,last_timestamp_used
EX001,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P001,PH001,,DOWN,0.3031,0.2895,0.2875,0.3031,0.2875,0.28740000;0.28750000;0.28800000,0.2839,2,2023-11-01 04:00:00,2023-11-02 00:00:00,2023-11-02 00:00:00
EX002,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P002,PH006,PR002,UP,0.3905,0.3568,0.395,0.395,0.3568,0.39500000;0.39500000;0.39490000,0.3977,2,2023-11-24 00:00:00,2023-11-27 00:00:00,2023-11-27 00:00:00
EX003,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P002,PH007,,UP,0.395,0.3568,0.3976,0.3976,0.3568,0.39760000;0.39760000;0.39680000,0.403,3,2023-12-02 20:00:00,2023-12-03 16:00:00,2023-12-03 16:00:00
EX004,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P003,PH009,PR004,UP,0.6243,0.5328,0.6675,0.6675,0.5328,0.66770000;0.66750000;0.65720000,0.68,2,2023-12-13 16:00:00,2023-12-16 00:00:00,2023-12-16 00:00:00
