parent_zone_id,model,display_start_open_time,parent_start_open_time,first_core_trigger_open_time,bounds_confirmation_open_time,initial_upper_bound,initial_lower_bound,final_upper_bound,final_lower_bound,upper_wick_reference,lower_wick_reference,boundary_version_count,accepted_extension_up_count,accepted_extension_down_count,internal_phase_count,internal_phase_count_by_type,price_departure_count,joint_candidate_count,failed_joint_candidate_count,effective_resolution_open_time,local_price_confirmation_open_time,parent_resolution_confirmation_open_time,resolution_direction,resolution_kind,associated_parent_ema_event_id,associated_parent_ema_classification,ema_event_age_bars,open_at_train_end,r1_mapping,r2_mapping,r5_mapping,display_box_top,display_box_bottom
P001,R3_HIERARCHICAL_PRICE_PLUS_PARENT_EMA,2023-10-29 12:00:00,2023-10-31 12:00:00,2023-10-31 16:00:00,2023-10-31 20:00:00,0.3031,0.2895,0.3031,0.2875,0.3046,0.2845,2,0,1,2,INTERNAL_ACCEPTED_DOWN_EXTENSION:1;INTERNAL_UP_DEPARTURE:1,2,0,0,2023-11-02 16:00:00,,2023-11-02 16:00:00,,OPEN_AT_TRAIN_END,,,,True,R1_LC001,Z001,LC001,0.30388,0.28672
P002,R3_HIERARCHICAL_PRICE_PLUS_PARENT_EMA,2023-11-10 16:00:00,2023-11-12 16:00:00,2023-11-13 08:00:00,2023-11-14 04:00:00,0.3905,0.3568,0.3976,0.3568,0.3959,0.35,2,1,0,6,INTERNAL_ACCEPTED_UP_EXTENSION:1;INTERNAL_REJECTED_DOWN_EXCURSION:1;INTERNAL_REJECTED_UP_EXCURSION:2;INTERNAL_UP_DEPARTURE:2,6,0,0,2023-12-04 16:00:00,,2023-12-04 16:00:00,,OPEN_AT_TRAIN_END,,,,True,R1_LC002,Z002;Z003,LC002,0.39964,0.35476
P003,R3_HIERARCHICAL_PRICE_PLUS_PARENT_EMA,2023-12-09 00:00:00,2023-12-11 00:00:00,2023-12-11 16:00:00,2023-12-12 00:00:00,0.6243,0.5328,0.6615,0.5328,0.68,0.5106,3,2,0,5,INTERNAL_ACCEPTED_UP_EXTENSION:2;INTERNAL_DOWN_DEPARTURE:2;INTERNAL_UP_DEPARTURE:1,5,1,1,2024-01-04 04:00:00,,2024-01-04 04:00:00,,OPEN_AT_TRAIN_END,,,,True,R1_LC003,Z004;Z005;Z006,LC003,0.667935,0.5263650000000001
