zone_id,attempt_id,direction,frozen_boundary,candidate_open_time,probation_end_open_time,bars_available,outside_count,inside_count,final_close_position,excursion_high,excursion_low,clearance_atr,status,failure_open_time,failure_reason,effective_exit_open_time,exit_confirmation_open_time
Z001,XA001,UP,0.3046,2023-11-01 20:00:00,2023-11-02 16:00:00,6,5,1,OUTSIDE,0.3295,0.2981,0.37789713652549783,ACCEPTED_UPSIDE_EXIT,,,2023-11-01 20:00:00,2023-11-02 16:00:00
Z002,XA002,UP,0.3951,2023-12-02 20:00:00,2023-12-03 16:00:00,6,3,3,NOT_OUTSIDE,0.403,0.3878,0.46697754739016123,FAILED_UPSIDE_EXIT,2023-12-03 12:00:00,TWO_CONSECUTIVE_CLOSES_BACK_INSIDE,,
Z002,XA003,UP,0.403,2023-12-04 04:00:00,2023-12-05 00:00:00,6,4,2,OUTSIDE,0.415,0.3911,0.8541455929187858,FAILED_UPSIDE_EXIT,2023-12-04 16:00:00,TWO_CONSECUTIVE_CLOSES_BACK_INSIDE,,
Z002,XA004,UP,0.415,2023-12-05 16:00:00,2023-12-06 12:00:00,6,6,0,OUTSIDE,0.451,0.4011,0.7983895348211325,ACCEPTED_UPSIDE_EXIT,,,2023-12-05 16:00:00,2023-12-06 12:00:00
Z003,XA005,UP,0.6474,2023-12-13 20:00:00,2023-12-14 16:00:00,6,4,2,NOT_OUTSIDE,0.68,0.61,0.6254264075030913,FAILED_UPSIDE_EXIT,2023-12-14 16:00:00,TWO_CONSECUTIVE_CLOSES_BACK_INSIDE,,
Z003,XA006,DOWN,0.5106,2024-01-07 20:00:00,2024-01-08 16:00:00,6,4,2,NOT_OUTSIDE,0.5487,0.4643,0.9932107946044241,FAILED_DOWNSIDE_EXIT,2024-01-08 16:00:00,TWO_CONSECUTIVE_CLOSES_BACK_INSIDE,,
